"Feel free to comment with alternative (EN, JP, etc) titles for anything you see or to point out repeat / missing titles",
Form to submit entry data,
88,
"""Mou.... Hatarakitakunaindesu"" Boukensha Nanka Yamete yaru. Imasara, Taiguu wo Kaerukara to Onegai sarete mo Okotowaridesu. Boku wa Zettai Hatarakimasen.",
#Aitora,
#DRCL Midnight Children,
0.0 Mhz,
1-nen A-gumi no Monster,
1/10 no Hanayome,
100 Days till you die,Kimi ga Shinu Made Ato 100 Nichi
100 Ghost Stories That Will Lead to My Own Death.,Boku ga Shinu dake no Hyakumonogatari
"100 Girlfriends Who Really, Really, Really, Really, Really Love You, The",Kimi no Koto Ga Daidaidaidaidaisuki na 100-nin Kanojo
100-nichi Go ni ××× suru Onna Shachou to Shinyuu Shain,
10th - You and I Fell in Love With the Same Person,
2.5D Seduction,
20th Century Boys,
29-sai Dokushin Chuuken Boukensha no Nichijou,
300 Million Yen High School Student,3-okuen Koukousei
300 yen highschool student,
341st Battlegroup,341 Sentoudan
365 Days to the Wedding,"Kekkon surutte, hontou desu ka"
3x3 EYES,
45 seconds,
5Toubun no Hanayome,
6-sai no Kenja wa Hikage no Michi wo Ayumitai,
7-Nin no Nemuri Hime,
8-gatsu 31-nichi no Long Summer,"Long Summer on August 31, The"
8th Circle Mage Reborn,
A Certain Magical Index,Toaru Majutsu no Index
A Childhood Friend Who's Always Horny No Matter What You Do,Dou Ganbatte mo H ni Nacchau Osananajimi
A Couple of Cuckoos,
A Day Found by Chance / July That I Randomly Discovered,
A Gal’s Guide To Budget Living for an Otaku,
A Galaxy Next Door,
A Girl by the Sea,
A Land Mine Vampire's Overbearing Love,Ai ga Omoi Jirai-kei Vampire
A Poison-Loving Lady Wants to get Married,
A Princess Who Reads Fortune,
A Returner's Magic Should Be Special,
A Rough Lady Is All Bothered,Arakure Ojousama wa Monmon Shiteiru
A Saint Joined My Party,
A Series of Cold Side Characters,Shiotaiou na Watashi ga Amayaka Sareteimasu
A Sign of Affection,
A Silent Voice,Koe no Katachi
A Stepmother's Märchen,
A Story About a Yakuza and a Detective With a Stern Face,
A Story About Getting Proposed To By My Student Who Grew Huge,
A Straight Girl Wanders Into a Lesbian Mixer,
A Succubus and Thereafter,
A Terrified Teacher at Ghoul School,Youkai Gakkou no Sensei Hajimemashita
A Tiny Island's Huge Girl,Chicchai Shima no Dekkai Girl
A Wicked Tale of Cinderella's Stepmom,
A Witch's Hopeless Wish,
